N2C1W4_F.BPP: OK (Solução = 77, Bins usados = 77)
N2C1W4_G.BPP: OK (Solução = 71, Bins usados = 71)
N2C1W4_H.BPP: OK (Solução = 75, Bins usados = 75)
N2C1W4_I.BPP: OK (Solução = 73, Bins usados = 73)
N2C1W4_J.BPP: OK (Solução = 74, Bins usados = 74)
N2C1W4_K.BPP: OK (Solução = 70, Bins usados = 70)
N2C1W4_L.BPP: OK (Solução = 75, Bins usados = 75)
N2C1W4_M.BPP: OK (Solução = 72, Bins usados = 72)
N2C1W4_N.BPP: OK (Solução = 71, Bins usados = 71)
N2C1W4_O.BPP: OK (Solução = 80, Bins usados = 80)
N2C1W4_P.BPP: OK (Solução = 67, Bins usados = 67)
N2C1W4_Q.BPP: OK (Solução = 75, Bins usados = 75)
N2C1W4_R.BPP: OK (Solução = 70, Bins usados = 70)
N2C1W4_S.BPP: OK (Solução = 80, Bins usados = 80)
N2C1W4_T.BPP: OK (Solução = 70, Bins usados = 70)
N2C2W1_A.BPP: OK (Solução = 42, Bins usados = 42)
N2C2W1_B.BPP: OK (Solução = 50, Bins usados = 50)
N2C2W1_C.BPP: OK (Solução = 40, Bins usados = 40)
N2C2W1_D.BPP: OK (Solução = 42, Bins usados = 42)
N2C2W1_E.BPP: OK (Solução = 40, Bins usados = 40)
N2C2W1_F.BPP: OK (Solução = 49, Bins usados = 49)
N2C2W1_G.BPP: OK (Solução = 45, Bins usados = 45)
N2C2W1_H.BPP: OK (Solução = 46, Bins usados = 46)
N2C2W1_I.BPP: OK (Solução = 45, Bins usados = 45)
N2C2W1_J.BPP: OK (Solução = 42, Bins usados = 42)
N2C2W1_K.BPP: OK (Solução = 41, Bins usados = 41)
N2C2W1_L.BPP: OK (Solução = 49, Bins usados = 49)
N2C2W1_M.BPP: OK (Solução = 44, Bins usados = 44)
N2C2W1_N.BPP: OK (Solução = 43, Bins usados = 43)
N2C2W1_O.BPP: OK (Solução = 50, Bins usados = 50)
N2C2W1_P.BPP: OK (Solução = 46, Bins usados = 46)
N2C2W1_Q.BPP: OK (Solução = 49, Bins usados = 49)
N2C2W1_R.BPP: OK (Solução = 41, Bins usados = 41)
N2C2W1_S.BPP: OK (Solução = 43, Bins usados = 43)
N2C2W1_T.BPP: OK (Solução = 39, Bins usados = 39)
N2C2W2_A.BPP: OK (Solução = 52, Bins usados = 52)
N2C2W2_B.BPP: OK (Solução = 56, Bins usados = 56)
N2C2W2_C.BPP: OK (Solução = 53, Bins usados = 53)
N2C2W2_D.BPP: OK (Solução = 51, Bins usados = 51)
N2C2W2_E.BPP: OK (Solução = 54, Bins usados = 54)
N2C2W2_F.BPP: OK (Solução = 48, Bins usados = 48)
N2C2W2_G.BPP: OK (Solução = 53, Bins usados = 53)
N2C2W2_H.BPP: OK (Solução = 53, Bins usados = 53)
N2C2W2_I.BPP: OK (Solução = 49, Bins usados = 49)
N2C2W2_J.BPP: OK (Solução = 56, Bins usados = 56)
N2C2W2_K.BPP: OK (Solução = 50, Bins usados = 50)
N2C2W2_L.BPP: OK (Solução = 52, Bins usados = 52)
N2C2W2_M.BPP: OK (Solução = 54, Bins usados = 54)
N2C2W2_N.BPP: OK (Solução = 51, Bins usados = 51)
N2C2W2_O.BPP: OK (Solução = 50, Bins usados = 50)
N2C2W2_P.BPP: OK (Solução = 50, Bins usados = 50)
N2C2W2_Q.BPP: OK (Solução = 54, Bins usados = 54)
N2C2W2_R.BPP: OK (Solução = 51, Bins usados = 51)
N2C2W2_S.BPP: OK (Solução = 58, Bins usados = 58)
N2C2W2_T.BPP: OK (Solução = 56, Bins usados = 56)
N2C2W4_A.BPP: OK (Solução = 57, Bins usados = 57)
N2C2W4_B.BPP: OK (Solução = 60, Bins usados = 60)
N2C2W4_C.BPP: OK (Solução = 65, Bins usados = 65)
N2C2W4_D.BPP: OK (Solução = 61, Bins usados = 61)
N2C2W4_E.BPP: OK (Solução = 60, Bins usados = 60)
N2C2W4_F.BPP: OK (Solução = 57, Bins usados = 57)
N2C2W4_G.BPP: OK (Solução = 61, Bins usados = 61)
N2C2W4_H.BPP: OK (Solução = 61, Bins usados = 61)
N2C2W4_I.BPP: OK (Solução = 58, Bins usados = 58)
N2C2W4_J.BPP: OK (Solução = 60, Bins usados = 60)
N2C2W4_K.BPP: OK (Solução = 59, Bins usados = 59)
N2C2W4_L.BPP: OK (Solução = 57, Bins usados = 57)
N2C2W4_M.BPP: OK (Solução = 60, Bins usados = 60)
N2C2W4_N.BPP: OK (Solução = 63, Bins usados = 63)
N2C2W4_O.BPP: OK (Solução = 62, Bins usados = 62)
N2C2W4_P.BPP: OK (Solução = 60, Bins usados = 60)
N2C2W4_Q.BPP: OK (Solução = 62, Bins usados = 62)
N2C2W4_R.BPP: OK (Solução = 56, Bins usados = 56)
N2C2W4_S.BPP: OK (Solução = 55, Bins usados = 55)
N2C2W4_T.BPP: OK (Solução = 57, Bins usados = 57)
N2C3W1_A.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_B.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_C.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_D.BPP: OK (Solução = 37, Bins usados = 37)
N2C3W1_E.BPP: OK (Solução = 34, Bins usados = 34)
N2C3W1_F.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_G.BPP: OK (Solução = 33, Bins usados = 33)
N2C3W1_H.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_I.BPP: OK (Solução = 34, Bins usados = 34)
N2C3W1_J.BPP: OK (Solução = 33, Bins usados = 33)
N2C3W1_K.BPP: OK (Solução = 36, Bins usados = 36)
N2C3W1_L.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_M.BPP: OK (Solução = 31, Bins usados = 31)
N2C3W1_N.BPP: OK (Solução = 32, Bins usados = 32)
N2C3W1_O.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_P.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W1_Q.BPP: OK (Solução = 34, Bins usados = 34)
N2C3W1_R.BPP: OK (Solução = 33, Bins usados = 33)
N2C3W1_S.BPP: OK (Solução = 36, Bins usados = 36)
N2C3W1_T.BPP: OK (Solução = 35, Bins usados = 35)
N2C3W2_A.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_B.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W2_C.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_D.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_E.BPP: OK (Solução = 39, Bins usados = 39)
N2C3W2_F.BPP: OK (Solução = 39, Bins usados = 39)
N2C3W2_G.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_H.BPP: OK (Solução = 38, Bins usados = 38)
N2C3W2_I.BPP: OK (Solução = 44, Bins usados = 44)
N2C3W2_J.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W2_K.BPP: OK (Solução = 42, Bins usados = 42)
N2C3W2_L.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_M.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W2_N.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_O.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W2_P.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_Q.BPP: OK (Solução = 41, Bins usados = 41)
N2C3W2_R.BPP: OK (Solução = 40, Bins usados = 40)
N2C3W2_S.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W2_T.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W4_A.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W4_B.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_C.BPP: OK (Solução = 42, Bins usados = 42)
N2C3W4_D.BPP: OK (Solução = 44, Bins usados = 44)
